tokens per iteration: 524,288
DataLoader: total number of tokens: 5,000,000,000 across 50 files
DataLoader: total number of tokens: 100,000,000 across 1 files
compiling the model...
step:307/4768 | loss 0.157421 | train_time:1279.30s | step_avg:4153.57ms
step:308/4768 | loss 0.154808 | train_time:1283.37s | step_avg:4153.30ms
step:309/4768 | loss 0.158631 | train_time:1287.44s | step_avg:4153.04ms
step:310/4768 | loss 0.157481 | train_time:1291.52s | step_avg:4152.79ms
step:311/4768 | loss 0.156776 | train_time:1295.59s | step_avg:4152.55ms
step:312/4768 | loss 0.155448 | train_time:1299.67s | step_avg:4152.30ms
step:313/4768 | loss 0.156776 | train_time:1303.74s | step_avg:4152.04ms
step:314/4768 | loss 0.155532 | train_time:1307.82s | step_avg:4151.81ms
step:315/4768 | loss 0.153658 | train_time:1311.89s | step_avg:4151.56ms
step:316/4768 | loss 0.154696 | train_time:1315.97s | step_avg:4151.32ms
step:317/4768 | loss 0.153542 | train_time:1320.05s | step_avg:4151.09ms
step:318/4768 | loss 0.153653 | train_time:1324.12s | step_avg:4150.84ms
step:319/4768 | loss 0.156685 | train_time:1328.19s | step_avg:4150.60ms
step:320/4768 | loss 0.153291 | train_time:1332.26s | step_avg:4150.36ms
step:321/4768 | loss 0.155344 | train_time:1336.34s | step_avg:4150.12ms
step:322/4768 | loss 0.154291 | train_time:1340.41s | step_avg:4149.88ms
step:323/4768 | loss 0.156851 | train_time:1344.49s | step_avg:4149.65ms
step:324/4768 | loss 0.154184 | train_time:1348.56s | step_avg:4149.41ms
step:325/4768 | loss 0.155351 | train_time:1352.63s | step_avg:4149.18ms
step:326/4768 | loss 0.155434 | train_time:1356.71s | step_avg:4148.95ms
step:327/4768 | loss 0.156448 | train_time:1360.78s | step_avg:4148.72ms
step:328/4768 | loss 0.155231 | train_time:1364.85s | step_avg:4148.49ms
step:329/4768 | loss 0.157628 | train_time:1368.93s | step_avg:4148.26ms
step:330/4768 | loss 0.153927 | train_time:1373.00s | step_avg:4148.04ms
step:331/4768 | loss 0.155468 | train_time:1377.07s | step_avg:4147.81ms
step:332/4768 | loss 0.153719 | train_time:1381.15s | step_avg:4147.59ms
step:333/4768 | loss 0.151874 | train_time:1385.22s | step_avg:4147.38ms
step:334/4768 | loss 0.154601 | train_time:1389.30s | step_avg:4147.16ms
step:335/4768 | loss 0.156346 | train_time:1393.37s | step_avg:4146.95ms
step:336/4768 | loss 0.159894 | train_time:1397.45s | step_avg:4146.74ms
step:337/4768 | loss 0.158182 | train_time:1401.53s | step_avg:4146.53ms
step:338/4768 | loss 0.153552 | train_time:1405.60s | step_avg:4146.31ms
step:339/4768 | loss 0.152372 | train_time:1409.68s | step_avg:4146.11ms
step:340/4768 | loss 0.152155 | train_time:1413.75s | step_avg:4145.90ms
step:341/4768 | loss 0.152091 | train_time:1417.83s | step_avg:4145.70ms
step:342/4768 | loss 0.154053 | train_time:1421.90s | step_avg:4145.49ms
step:343/4768 | loss 0.153851 | train_time:1425.98s | step_avg:4145.28ms
step:344/4768 | loss 0.151706 | train_time:1430.05s | step_avg:4145.08ms
step:345/4768 | loss 0.151207 | train_time:1434.13s | step_avg:4144.88ms
step:346/4768 | loss 0.152907 | train_time:1438.20s | step_avg:4144.67ms
step:347/4768 | loss 0.151413 | train_time:1442.28s | step_avg:4144.47ms
step:348/4768 | loss 0.151762 | train_time:1446.35s | step_avg:4144.27ms
step:349/4768 | loss 0.148529 | train_time:1450.43s | step_avg:4144.07ms
step:350/4768 | loss 0.149868 | train_time:1454.50s | step_avg:4143.88ms
step:351/4768 | loss 0.151950 | train_time:1458.58s | step_avg:4143.68ms
step:352/4768 | loss 0.149838 | train_time:1462.65s | step_avg:4143.48ms
step:353/4768 | loss 0.151899 | train_time:1466.72s | step_avg:4143.29ms
step:354/4768 | loss 0.149585 | train_time:1470.80s | step_avg:4143.10ms
step:355/4768 | loss 0.151105 | train_time:1474.88s | step_avg:4142.91ms
